content,rating,author
"Probably the best available option out there for both discounts on GW products as well as other branded hobby products (green stuff world, vallejo etc) delivery speed and range of payment options.Will literally get everything from here as long as this continues!",5,Greg
"The best place to buy miniatures. I've been into the hobby for 2 years now and Wayland are without the best retailer.Their discounts are always the best, the free postage threshold is very fair and the couple of times I needed customer service they were fantastic.",5,Peter Winfield
I made a pre-order for the Warhammer 40k index cards.they said they would ship as soon as they became available. Within a two of said order they had arrived in the post. as all five of my armies could used again after the tenth edition rules came out.,5,Andrew John Roberts
The package arrived perfectly and in very good condition factory sealed just as depicted in the image. Exactly what I ordered and at an amazing price aswell would definitely order from here again and would recommend Wayland Games to anyone,5,Dominic Bowman
"I've been using Wayland Games for many years now, they are often the cheapest and have never let me down with delivery and pre-orders.",5,Guy
Ordered on the Friday and showed up on the Monday 48 hour free delivery service. very good service and boxed up with no damage. GW take notice of the price 20% off and free delivery!,5,Thomas Cox
Great Customer Service and able to answer all my questions. Customer service offering to go over and above for the customer that’s rare to find these days,5,MrBuyer2020
"Great prices, speedy support and fast delivery. Only problem is that a lot of accessories are out of stock and they don’t tell you how long for.",5,Lawrence Kurowski
"First is price; most competitive for the product I bought. Also qualified for free delivery making it even better value, so I got something else too.Secondly, it was an astonishingly rapid transaction. I placed the order late one night and it was delivered the next day.Only negative is using the website on an iPhone. There are so many products, that is difficult to browse, the filters don’t work well either.",5,Vinny Ryan
I have ordered a few times from Wayland games (mostly paints) and I'm always happy with the service and prompt delivery.,5,L Mitchell
Excellent service and had exactly what we wanted when other suppliers didn’t. A good price too.,5,Keri
"I recently discovered Wayland games, and I must say it's wonderful. The selection of products is incredible. The prices were competitive  and having a customer top notch services with helpful staff.",5,John T
"package arrived on time and in good condition, would highly recommend anyone to use weyland games for their war miniatures, have been happy with every order received from weyland games",5,Jack Lyons
"Good prices, well packed and reasonable delivery time.  Website seemed a little unstable at times.",5,Mea
"Great price, light damage on box, damage in book (probably manufacturer!) would use again!",4,Chris
Had a misunderstanding regarding shipping (completely my fault) but they had it sorted and explained the situation within the day! They were polite and very understanding and a brilliant help!,5,Alexander Mitchell
"Once the items on my wish list were in stock, I was informed via email, after purchase they were shipped out straight away. I received my items the next working day.Very happy with the service.",5,Army Veteran
"Very quick to refund, quick to respond, process and deliver. Zero complaints with any part of the service.",5,Ben Link
A very pleasing and wholesome transaction. A well deserved pat on the back for all parties involved.,5,Andrew H
"I have only so far ordered twice recently from this company and both times have been a truly awesome experience, well packed and speedy on time service. I will definitely be using these guys many more timesin the future.  10/10",5,Kevin Atherton
"I love Wayland games..You can pay using Paypal, great selection of items, some unusual items, makes I haven't heard of before and the delivery is always very quick..First Class..xxx I always use them",5,Neil
Great service and turn around on my order! Will definitely order again from Wayland Games!,5,MR IAN KELLAND
"The items I ordered wrote easy to find, shipped quickly and arrived in excellent condition.",5,Tom Dawson
"Ordering was easy, service was great, delivery was fast what more can you ask for 👍",5,gary
Really quick turnaround on my purchase. Would highly recommend wayland games.,5,Iain
"my order was never delivered. I was home on both the first and second dates provided by DPD, there was never a delivery yet i received emails stating no one was home. This item was not left in safe place either.I do not think this is a reflection on Wayland games but on DPD.Latest email states to collect from drop off location without a location provided or a way to contact DPD.",1,Ross Olney
Due to an error with the Wayland online order system my item was ordered twice. I used the ticket system to report the problem and the second item was cancelled and the refund back in my bank within 24 hours. Exemplary customer service.,5,A customer
"Excellent company to deal with,  all ways has good stock levels, everything I need each time",5,Mr Alan Sheppard
The low £20 gateway to free and prompt delivery brings me back to Wayland often.,5,Malcolm Hogarth
Extremely happy with items and delivery. Would highly recommend and will be back!,5,Jack
I've ordered from Wayland Games a few times now. Every time has been fast and hassle free. Would highly recommend them to anyone.,5,Matthew Sharp
"Easy to order online, Super quick delivery, items well packed and received with thanks. Really happy with the service received and would happily order again from Wayland Games.",5,Nic
As always with Wayland Games A very rapid response and dispatch .Easily tracked through Royal Mail and delivered when they stated . What more could you want .,5,Bernard Hollands
"Customer support was very helpful, in quickly resolving my account issue. The website was easy to navigate and the items were rapidly despatched.",5,Phil
Great rang of products at a reasonable price. The items I ordered were picked on the same day and delivered by Royal Mail 2 days later. They were very well packed with plenty of extra shredded cardboard to keep the items secure. Many thanks ! Will be ordering again from you 👍,5,Mick Stewart
Great service range and prices!  Will definitely use again and recommend.,5,MikeHall
"Price is the best, always, but international shipping can be improved. I was notified at the very last moment and wasn't available to receive my package. A direct to relay option would be nice",4,Hugo Capocc
Great items at competitive prices. Safe packaging as well.👍🏻👍🏻,5,Andrew Tarren
"As always, extremely satisfied. The item I ordered arrived sooner than I had anticipated, thank you for that.",5,carmelmalta
"Always easy to buy from, quick dispatch and good customer service",5,Andy
Really great service from Wayland and quick delivery as well!!,5,Steve Curtis
